,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,good
664,50,female,1,own,little,rich,1047,6,education,good
665,27,male,3,own,little,NA,6314,24,vacation/others,good
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
667,27,female,2,own,little,NA,3609,48,business,good
668,43,male,2,rent,little,little,4843,12,car,bad
669,47,male,2,own,little,rich,3017,30,radio/TV,good
670,27,male,1,own,moderate,NA,4139,24,business,good
671,31,male,2,own,moderate,NA,5742,36,business,good
672,42,male,3,own,little,NA,10366,60,car,good
673,24,male,2,own,quite rich,NA,2080,6,car,good
674,41,male,1,own,quite rich,NA,2580,21,business,bad
675,26,female,3,rent,little,NA,4530,30,radio/TV,good
676,33,male,2,own,little,NA,5150,24,furniture/equipment,good
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
678,64,male,1,rent,little,little,2384,24,radio/TV,good
679,26,female,2,own,little,NA,1453,18,radio/TV,good
680,56,female,2,own,little,NA,1538,6,education,good
681,37,male,2,free,NA,NA,2279,12,radio/TV,good
682,33,male,2,own,little,NA,1478,15,radio/TV,good
683,47,male,2,free,little,NA,5103,24,radio/TV,good
684,31,male,1,own,moderate,moderate,9857,36,business,good
685,34,male,2,free,NA,NA,6527,60,car,good
686,27,male,2,own,NA,rich,1347,10,radio/TV,good
687,30,male,2,free,moderate,moderate,2862,36,car,good
688,35,male,2,own,moderate,NA,2753,9,radio/TV,good
689,31,male,2,own,rich,little,3651,12,car,good
690,25,male,2,own,little,little,975,15,furniture/equipment,good
691,25,female,1,own,moderate,moderate,2631,15,repairs,good
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
693,44,male,1,own,NA,little,4716,6,car,good
694,28,male,2,own,little,NA,2284,24,radio/TV,good
695,50,male,2,rent,quite rich,NA,1236,6,car,good
696,29,male,2,own,little,moderate,1103,12,radio/TV,good
697,38,female,0,own,little,NA,926,12,car,good
698,24,male,2,own,little,NA,1800,18,radio/TV,good
699,40,male,3,rent,little,rich,1905,15,education,good
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,bad
701,46,male,2,free,little,little,6331,48,car,bad
702,47,female,2,free,moderate,rich,1377,24,radio/TV,good
703,41,male,2,own,moderate,moderate,2503,30,business,good
704,32,female,2,own,little,moderate,2528,27,business,good
705,35,female,2,free,quite rich,NA,5324,15,car,good
706,24,male,2,own,moderate,moderate,6560,48,car,bad
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
708,25,female,2,own,little,moderate,1206,9,radio/TV,good
709,37,male,1,own,little,moderate,2118,9,radio/TV,good
710,32,male,3,own,quite rich,NA,629,18,radio/TV,good
711,35,female,2,free,little,little,1198,6,education,bad
712,46,male,3,own,NA,NA,2476,21,car,good
713,25,male,1,own,little,little,1138,9,radio/TV,good
714,27,male,3,own,little,moderate,14027,60,car,bad
715,63,male,2,own,NA,NA,7596,30,car,good
716,40,male,2,own,NA,NA,3077,30,radio/TV,good
717,32,male,3,free,little,NA,1505,18,radio/TV,good
718,31,male,2,own,NA,rich,3148,24,radio/TV,good
719,31,male,2,own,moderate,moderate,6148,20,car,good
720,34,male,3,own,little,rich,1337,9,radio/TV,bad
721,24,female,2,rent,rich,moderate,433,6,education,bad
722,24,female,1,own,little,little,1228,12,car,bad
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good
724,21,female,2,rent,little,NA,2570,27,car,bad
725,41,female,1,own,rich,NA,250,6,car,good
726,47,male,1,own,quite rich,NA,1316,15,radio/TV,good
727,25,female,2,rent,little,little,1882,18,radio/TV,bad
728,59,female,2,rent,little,moderate,6416,48,business,bad
729,36,male,2,own,rich,rich,1275,24,business,good
730,33,male,2,own,little,moderate,6403,24,radio/TV,good
731,21,male,1,rent,little,little,1987,24,radio/TV,bad
732,44,female,1,own,little,moderate,760,8,radio/TV,good
733,28,female,2,rent,rich,NA,2603,24,car,good
734,37,female,2,own,little,NA,3380,4,car,good
735,29,female,0,own,NA,moderate,3990,36,domestic appliances,good
736,23,female,3,rent,little,moderate,11560,24,car,bad
737,35,male,1,own,moderate,little,4380,18,car,good
738,45,male,3,own,little,NA,6761,6,car,good
739,26,female,1,rent,moderate,moderate,4280,30,business,bad
740,32,male,2,own,moderate,little,2325,24,car,good
741,23,male,1,own,little,moderate,1048,10,radio/TV,good
742,41,male,2,own,NA,NA,3160,21,radio/TV,good
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good
744,30,male,3,own,NA,little,14179,39,furniture/equipment,good
745,28,male,1,own,little,little,1797,13,business,good
746,23,female,2,rent,little,little,2511,15,car,good
747,37,female,1,own,little,little,1274,12,car,bad
748,26,male,2,own,NA,NA,5248,21,car,good
749,33,male,2,own,little,NA,3029,15,car,good
750,49,female,2,own,little,little,428,6,furniture/equipment,good
751,23,female,1,own,little,little,976,18,car,bad
752,23,female,1,rent,moderate,moderate,841,12,business,good
753,25,female,2,own,little,NA,5771,30,radio/TV,good
754,55,male,2,free,rich,NA,1555,12,repairs,bad
755,32,female,2,rent,NA,little,1285,24,car,bad
756,74,male,0,own,little,rich,1299,6,car,good
757,39,male,2,free,NA,rich,1271,15,radio/TV,bad
758,31,male,2,own,little,NA,1393,24,car,good
759,35,male,2,own,little,little,691,12,car,bad
760,59,female,2,own,NA,NA,5045,15,car,good
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad
762,24,male,1,own,little,little,2214,12,radio/TV,good
763,30,male,3,free,NA,NA,12680,21,car,bad
764,27,male,2,own,moderate,NA,2463,24,car,good
765,40,male,1,own,little,moderate,1155,12,radio/TV,good
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad
767,31,female,2,rent,NA,NA,2901,10,car,good
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,good
769,63,male,1,own,little,NA,1655,12,radio/TV,good
770,26,female,2,rent,NA,little,2812,24,car,good
771,25,female,3,own,little,little,8065,36,education,bad
772,36,male,3,own,little,NA,3275,21,car,good
773,52,male,2,own,moderate,NA,2223,24,radio/TV,good
774,66,male,0,free,quite rich,rich,1480,12,car,good
775,25,female,2,rent,NA,little,1371,24,car,bad
776,37,male,2,own,little,NA,3535,36,car,good
777,25,female,2,own,little,little,3509,18,radio/TV,good
778,38,male,3,own,rich,NA,5711,36,car,good
779,67,female,2,own,little,moderate,3872,18,repairs,good
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad
781,60,male,2,own,rich,NA,1940,24,car,good
782,31,male,1,own,little,moderate,1410,12,education,good
783,23,female,1,own,moderate,moderate,836,12,car,bad
784,60,male,3,own,NA,moderate,6468,20,car,good
785,35,male,1,own,rich,moderate,1941,18,business,good
786,40,male,2,own,quite rich,NA,2675,22,radio/TV,good
787,38,male,2,own,NA,NA,2751,48,car,good
788,50,male,2,free,little,moderate,6224,48,education,bad
789,27,male,2,own,little,little,5998,40,education,bad
790,39,female,2,own,little,moderate,1188,21,business,bad
791,41,male,3,own,NA,NA,6313,24,car,good
792,27,male,2,own,NA,NA,1221,6,furniture/equipment,good
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,good
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,good
796,51,male,2,free,NA,little,7511,18,car,bad
797,22,female,1,rent,little,NA,1258,12,furniture/equipment,good
798,54,male,2,own,NA,NA,717,24,car,good
799,35,male,0,own,NA,moderate,1549,9,car,good
800,54,male,2,free,little,NA,1597,24,education,good
801,48,female,1,rent,little,moderate,1795,18,radio/TV,good
802,24,female,2,own,little,little,4272,20,furniture/equipment,good
803,35,male,2,own,NA,NA,976,12,radio/TV,good
804,24,female,0,rent,NA,moderate,7472,12,car,good
805,24,male,2,own,little,little,9271,36,car,bad
806,26,male,1,own,little,moderate,590,6,radio/TV,good
807,65,male,2,own,NA,NA,930,12,radio/TV,good
808,55,male,3,free,little,moderate,9283,42,car,good
809,26,female,0,rent,little,moderate,1778,15,car,bad
810,26,male,2,own,little,moderate,907,8,business,good
811,28,male,1,own,little,moderate,484,6,radio/TV,good
812,24,male,2,own,little,little,9629,36,car,bad
813,54,male,2,own,little,little,3051,48,domestic appliances,bad
814,46,male,2,free,little,little,3931,48,car,bad
815,54,female,2,rent,little,moderate,7432,36,car,good
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances,good
817,24,female,2,rent,little,NA,1554,6,radio/TV,good
818,43,male,3,own,little,little,15857,36,vacation/others,good
819,26,male,2,own,little,little,1345,18,radio/TV,bad
820,27,male,2,own,little,NA,1101,12,car,good
821,24,male,2,own,little,rich,3016,12,radio/TV,good
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad
823,47,male,1,own,little,little,731,8,car,good
824,35,male,3,own,little,NA,3780,18,furniture/equipment,good
825,30,male,2,own,little,little,1602,21,car,good
826,33,female,2,rent,little,little,3966,18,car,bad
827,36,male,2,own,little,NA,4165,18,business,bad
828,47,male,2,free,NA,little,8335,36,car,bad
829,38,male,2,free,NA,moderate,6681,48,business,good
830,44,male,2,own,quite rich,NA,2375,24,business,good
831,23,female,2,rent,little,little,1216,18,car,bad
832,29,male,2,rent,little,little,11816,45,business,bad
833,42,female,2,own,NA,moderate,5084,24,radio/TV,good
834,25,female,1,own,little,rich,2327,15,radio/TV,bad
835,48,male,2,own,little,little,1082,12,car,bad
836,21,female,2,own,NA,NA,886,12,radio/TV,good
837,23,female,1,rent,little,NA,601,4,furniture/equipment,good
838,63,male,2,own,little,little,2957,24,car,good
839,46,male,2,own,little,NA,2611,24,radio/TV,good
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad
841,28,male,1,own,little,NA,2993,21,car,good
842,23,female,2,own,little,NA,1943,18,repairs,bad
843,50,male,2,own,little,NA,1559,24,business,good
844,47,male,2,own,little,NA,3422,18,furniture/equipment,good
845,35,male,2,own,NA,moderate,3976,21,furniture/equipment,good
846,68,male,2,rent,NA,NA,6761,18,car,bad
847,28,male,2,own,little,NA,1249,24,car,good
848,59,male,2,own,little,little,1364,9,radio/TV,good
849,57,male,1,own,little,little,709,12,radio/TV,bad
850,33,male,2,rent,little,little,2235,20,car,bad
851,43,male,2,own,NA,NA,4042,24,car,good
852,35,male,2,free,little,NA,1471,15,radio/TV,good
853,32,male,1,free,little,little,1442,18,car,bad
854,45,male,2,own,little,NA,10875,36,car,good
855,33,male,2,own,moderate,NA,1474,24,car,good
856,40,female,2,own,NA,NA,894,10,education,good
857,28,male,2,free,little,NA,3343,15,furniture/equipment,good
858,29,female,2,own,little,little,3959,15,car,bad
859,26,male,2,rent,moderate,NA,3577,9,car,good
860,27,male,2,own,rich,NA,5804,24,car,good
861,28,male,2,own,little,NA,2169,18,business,bad
862,35,female,2,own,little,little,2439,24,radio/TV,bad
863,32,male,1,own,rich,NA,4526,27,furniture/equipment,good
864,25,male,1,rent,little,NA,2210,10,furniture/equipment,bad
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,good
866,27,female,2,own,little,little,2389,18,radio/TV,good
867,42,male,2,own,little,NA,3331,12,furniture/equipment,good
868,37,male,2,own,NA,NA,7409,36,business,good
869,24,female,2,rent,little,little,652,12,furniture/equipment,good
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment,good
871,46,male,2,own,little,rich,1343,6,car,good
872,26,male,2,own,moderate,little,1382,24,business,good
873,24,female,2,own,NA,NA,874,15,domestic appliances,good
874,29,male,1,own,little,little,3590,12,furniture/equipment,good
875,40,female,2,own,rich,moderate,1322,11,car,good
876,36,male,3,free,little,little,1940,18,radio/TV,good
877,28,male,2,own,little,NA,3595,36,radio/TV,good
878,27,male,3,free,little,little,1422,9,car,bad
879,36,male,2,own,NA,NA,6742,30,radio/TV,good
880,38,male,3,own,little,NA,7814,24,car,good
881,48,male,2,free,NA,NA,9277,24,car,good
882,36,male,2,own,NA,moderate,2181,30,car,good
883,65,female,0,own,little,NA,1098,18,radio/TV,good
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,bad
885,53,female,2,own,little,little,795,12,education,bad
886,34,male,2,own,NA,moderate,2825,24,business,good
887,23,male,2,own,little,moderate,15672,48,business,bad
888,34,male,3,own,little,NA,6614,36,car,good
889,40,male,2,rent,NA,NA,7824,28,car,good
890,43,male,3,own,little,little,2442,27,business,good
891,46,male,2,own,little,NA,1829,15,radio/TV,good
892,38,male,1,own,little,little,2171,12,car,good
893,34,male,2,own,little,moderate,5800,36,car,good
894,29,male,2,own,NA,NA,1169,18,radio/TV,good
895,31,male,3,own,NA,NA,8947,36,car,good
896,28,female,3,rent,little,little,2606,21,radio/TV,good
897,35,female,2,own,rich,NA,1592,12,furniture/equipment,good
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment,good
899,42,male,2,own,little,little,4153,18,furniture/equipment,bad
900,43,male,2,rent,little,little,2625,16,car,bad
901,44,male,2,own,NA,NA,3485,20,car,good
902,42,male,2,free,NA,NA,10477,36,car,good
903,40,male,2,rent,NA,NA,1386,15,radio/TV,good
904,36,male,3,own,little,NA,1278,24,radio/TV,good
905,20,male,3,rent,little,little,1107,12,radio/TV,good
906,24,male,1,own,NA,little,3763,21,car,good
907,27,male,2,own,NA,moderate,3711,36,education,good
908,46,female,1,own,little,NA,3594,15,car,good
909,33,female,1,own,NA,moderate,3195,9,car,good
910,34,female,2,own,little,NA,4454,36,radio/TV,good
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,bad
912,25,female,2,own,NA,moderate,2991,30,radio/TV,good
913,28,male,2,own,rich,NA,2142,11,business,good
914,31,male,2,rent,little,little,3161,24,business,bad
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad
916,32,male,2,own,moderate,NA,2848,10,car,good
917,68,male,3,own,little,little,14896,6,car,bad
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad
919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad
920,28,female,2,own,little,NA,1817,18,furniture/equipment,good
921,37,male,3,own,quite rich,NA,12749,48,radio/TV,good
922,22,female,2,rent,little,little,1366,9,radio/TV,bad
923,30,male,2,rent,little,moderate,2002,12,car,good
924,55,male,2,own,little,little,6872,24,furniture/equipment,bad
925,46,male,2,own,little,little,697,12,car,bad
926,21,female,2,rent,little,little,1049,18,furniture/equipment,good
927,39,male,2,free,little,little,10297,48,car,bad
928,58,male,2,own,NA,NA,1867,30,radio/TV,good
929,43,male,1,own,little,little,1344,12,car,good
930,24,male,1,own,little,little,1747,24,furniture/equipment,good
931,22,female,2,own,little,moderate,1670,9,radio/TV,bad
932,30,male,2,own,little,NA,1224,9,car,good
933,42,male,2,own,quite rich,NA,522,12,radio/TV,good
934,23,female,2,own,little,little,1498,12,radio/TV,good
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
936,28,female,1,own,little,rich,745,9,radio/TV,bad
937,30,male,3,rent,little,moderate,2063,6,radio/TV,good
938,42,male,2,free,little,moderate,6288,60,education,bad
939,46,male,3,own,NA,NA,6842,24,car,good
940,45,male,3,own,NA,NA,3527,12,car,good
941,31,male,1,own,little,NA,1546,10,car,good
942,31,male,2,own,NA,NA,929,24,furniture/equipment,good
943,42,male,1,own,little,NA,1455,4,car,good
944,46,female,2,rent,little,little,1845,15,furniture/equipment,good
945,30,female,2,own,quite rich,moderate,8358,48,car,good
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
947,38,male,3,own,NA,NA,2859,12,car,good
948,43,male,1,own,little,NA,1533,18,furniture/equipment,bad
949,31,male,2,own,moderate,NA,3621,24,radio/TV,bad
950,40,male,0,own,little,moderate,3590,18,business,good
951,24,male,2,own,little,little,2145,36,business,bad
952,28,female,2,rent,quite rich,moderate,4113,24,car,bad
953,26,female,3,own,little,NA,10974,36,furniture/equipment,bad
954,29,female,2,own,little,little,1893,12,car,good
955,57,female,3,rent,rich,little,1231,24,radio/TV,good
956,49,male,1,own,NA,rich,3656,30,radio/TV,good
957,37,male,1,own,little,moderate,1154,9,radio/TV,good
958,45,male,1,own,little,little,4006,28,car,bad
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good
960,30,male,2,rent,little,NA,1740,6,radio/TV,good
961,47,male,2,own,little,moderate,2353,21,car,good
962,29,male,2,own,NA,NA,3556,15,car,good
963,35,male,2,own,quite rich,NA,2397,24,radio/TV,bad
964,22,male,1,own,little,moderate,454,6,repairs,good
965,26,female,2,own,NA,moderate,1715,30,radio/TV,good
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
967,54,female,3,rent,little,NA,3568,15,radio/TV,good
968,29,male,2,rent,NA,NA,7166,42,radio/TV,good
969,40,male,1,own,little,little,3939,11,car,good
970,22,male,2,own,moderate,moderate,1514,15,repairs,good
971,43,male,1,own,little,NA,7393,24,car,good
972,29,female,0,rent,little,little,1193,24,car,bad
973,36,male,2,rent,little,little,7297,60,business,bad
974,33,female,2,own,little,NA,2831,30,radio/TV,good
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,good
976,64,female,2,own,little,moderate,753,6,radio/TV,good
977,42,male,2,own,NA,moderate,2427,18,business,good
978,47,male,1,own,little,NA,2538,24,car,bad
979,25,male,2,rent,moderate,moderate,1264,15,car,bad
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,bad
981,33,male,3,rent,little,NA,4844,48,business,bad
982,28,female,3,own,moderate,rich,2923,21,car,good
983,26,male,2,own,little,little,8229,36,car,bad
984,30,male,1,own,little,NA,2028,24,furniture/equipment,good
985,25,female,2,rent,little,little,1433,15,furniture/equipment,good
986,33,male,2,own,little,rich,6289,42,business,good
987,64,female,2,own,moderate,NA,1409,13,radio/TV,good
988,29,male,3,free,little,little,6579,24,car,good
989,48,male,1,own,little,moderate,1743,24,radio/TV,good
990,37,male,1,own,NA,NA,3565,12,education,good
991,34,male,1,own,moderate,NA,1569,15,radio/TV,good
992,23,male,1,rent,NA,little,1936,18,radio/TV,good
993,30,male,3,own,little,little,3959,36,furniture/equipment,good
994,50,male,2,own,NA,NA,2390,12,car,good
995,31,female,1,own,little,NA,1736,12,furniture/equipment,good
996,40,male,3,own,little,little,3857,30,car,good
997,38,male,2,own,little,NA,804,12,radio/TV,good
998,23,male,2,free,little,little,1845,45,radio/TV,bad
999,27,male,2,own,moderate,moderate,4576,45,car,good